___________----______-XX-______----__++_______---_______-X-___+___---_---______+-X-_---___---_-X-___;_______O___----__O_O_-XX-______----_O++O______---_______-X-O_O+___---O---__OOO_+-X-_---___---_-X-___
____-X-_______---____________+_________+__________________________________________________+______+__;_O_O-X-______O---____________+__O__O___+_____O___O_________O_____O____O_O__O____O____O____+______+O_
____________________________________________________________________________________________________;_____OO______________OO_OO_______________O_____O___O_______O_O____O______O_____O_________O_OOOO____O
___+______________________________________++________________+____+________________+_________________;___+____O____O_O_______O__________________++OO____________O_+___O+O_O_O_O_________+_O___O___________
_______________+______________________________________________________+___+_________________________;_____O____O__O_+__O_O__________________O___O___O_O_______O_OO______O_O+___+_____O___O___O___________
____+_______+__________________________+____++_+_+___---_______-X-_______---________________+_______;____+OO_O___+_________O__O___O_________+O___++O+_+___---_______-X-__O____---__O_____________+O______
____+______________________+_+___+______+___________________+____+____----_+---_-XX-_+-X------__---X;____+_________O____________+O+___+______+__O_O____O_________+_O__+____----_+---_-XX-_+-X------_O---X
______---_______-X-_______-X-__+____---________+__+_________+____________________----+_____-XX-_____;______---_______-X-__O_O_O-X-__+____---_______O+O_+_________+____O____O_O__O____O----+_O___-XX-_____
____---_______-X-______+---__+___+___________+____+__+_________________+_____+________---_______-X-_;____---______O-X-__OO__+---__+___+_O_________+____+OO+___O_____________+OO__O+________---_______-X-_
___-XX-______----__________-----_____-X-X-_+___---X-_+_+____X-________--__________________+____+__+_;___-XX-_____O----__________-----_O___-X-X-_+___---X-_+_+O___X-________--_______O___O______+O___+OO+_
_____---______+-X-____+__-----________-X________--+_________+_+---+_____+-X-_______-X----____-X--X-_;_____---____O_+-X-____+_O-----________-XO_______--+_____O___+_+---+_____+-X-__O___O-X----___O-X--X-_
---X-_____XX---____+---______+_____________________________++_---_+_____-X---_____---X-_______---___;---X-____OXX---____+---O_____+___O__O___O_________O_____O__++_---_+__O__-X---__O__---X-__O____---___
_____+---_______-X-_---__+-----X-___-XX-----------___-XX-______----_+_________+___------____-XX-X-+_;_____+---_OOO__O-X-_---__+-----X-___-XX-----------___-XX-___O__----_+_________+___------O___-XX-X-+_
+__---____+__-X-_______---+______________________________+______________+___________________________;+__---____+__-X-___OO__---+O___________________O_____O___+_________O_OO_+O___O__O____________OOO____
__---XX-____-X----_+_+---XX-_+____----_+___________+_________+____________---+____---X-_____-X---___;__---XX-_O_O-X----_+_+---XX-_+____----_+_O__O______+_________+____________---+OO__---X-_____-X---___
_________+---------+-XX-X--+-_-------X-_---___---_-X-___+___-X---_+___-X-X-_____--------_____+_-X-__;_________+---------+-XX-X--+-O-------X-O---___---_-X-___+___-X---_+___-X-X-_O___--------O___O+_-X-__
_-XX-___-X_----___--_+____+_-X______+_--______+_--________-X_++---__--___-X-+___----X-____-X----____;_-XX-___-X_----_O_--O+____+_-X______+_--______+_--________-XO++---__--___-X-+___----X-O___-X----O___
_---_______-X-_______---____________________________________________________________________________;_---O______-X-O_O__O_---O_O__O____O____O____________OOO___O_O_____O_________O_______O_________O__O__
___---__+_+---X-_____-X---____+---__+_+___________+______________________+_______-----_____-XXX-____;O__---_O+_+---X-____O-X---____+---__+O+___________+O_____O_______________+O______-----_____-XXX-___O
____________________________________________________________________________________________________;O_O_____O_O_______O_O_______O___O__O_________O______________O_____O_O_O__O____O_O__O_O____O_________
